TotalRows
Total Borrower Account AR Logs: 883

BorrowerAccountARMessageText_Value,AREventCreationDateTime_Value,BorrowerNumber_Value,ActionCodeShortValueText_Value,ResultCodeShortValueText_Value,UserSystemUserName_Value
?Approved refund 2282.33 to borrower TOP after Consolidation.,3/29/2013,1010396581,BROFSArv,BROFSAap,gissenk
APPROVE,4/4/2013,1003719173,BROFSArv,BROFSAap,ferrelb
Approve : Refund AWG and TOP (total amt $302.62) to borrower for $115.22 trc#2051058 on 2/19/13 and a partial TOP for $187.40 trc# S90464218 on 2/13/13,3/7/2013,1003728854,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $1169.09 PARTIAL TOP OP TO BORROWER,4/1/2013,1003735511,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $120.63 (2) AWG OP TO BORROWER,4/1/2013,1003727605,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $235.74 (1) AWG OP (1) PARTIAL TOP OP TO BORROWER,4/1/2013,1003788644,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $24.36 PARTIAL TOP OP TO BORROWER,4/1/2013,1003916758,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $313.94 (1) AWG OP (1) PARTIAL TOP OP TO BORROWER,4/1/2013,1009704307,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $38.21 PARTIAL AWG OP TO BORROWER,4/1/2013,1003693668,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $4446.00 TOP AFTER CONSOL TO BORROWER,4/1/2013,1009723187,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $719.47 TOP AFTER COMP TO BORROWER,4/1/2013,1003728120,BROFSArv,BROFSAap,ferrelb
"Approve 19 refunds totalling $6,302.21 to borr awg op. awise/r4",8/30/2012,1003781880,BROFSArv,BROFSAap,wisea
Approve 2 refunds $256.65 09/11/12 $173.76 10/02/12 to borr op acct. awise/r4,10/23/2012,1003781880,BROFSArv,BROFSAap,wisea
Approve 2 refunds $547.43 to borrower. awise/r4,4/15/2013,1003685837,BROFSArv,BROFSAap,wisea
Approve 2 refunds for $219.30 to borrower. awise/r4,3/7/2013,1010535062,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $352.03 to borrower. awise/r4,4/15/2013,1003716297,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $861.88 to to borrower. awise/r4,1/10/2013,1003781880,BROFSArv,BROFSAap,wisea
Approve 2 TOP payments totaling $693.00 to borrower acct was in repayment and was certified for TOP in error. awise/r4,3/29/2013,1010721079,BROFSArv,BROFSAap,wisea
Approve 3 refunds totaling $137.98 to borrower AWG Overpymts. awise/r4,3/29/2013,1009856225,BROFSArv,BROFSAap,wisea
APPROVE INTERNAL APPROVAL REFUND $43.95 CONSOL OP TO LENDER - DL MONTGOMERY,4/1/2013,1003725741,BROFSArv,BROFSAap,ferrelb
Approve INTERNAL APPROVAL; REFUND $290.05 PARTIAL TOP OP TO BORROWER,4/1/2013,1003736742,BROFSArv,BROFSAap,ferrelb
Approve refund  per 3/20/13 notation,4/8/2013,1010437449,BROFSArv,BROFSAap,tatarm
"APPROVE REFUND $ 426.49 PARTIAL TOP OP AFTER COMP;
COMP SET 02/04/2013 $4100.00 DUE 05/05/2013; COM",4/1/2013,1003784124,BROFSArv,BROFSAap,ferrelb
"Approve refund $1,116.00 TOP to borrower TOP rec'd  after Comp. awise/r4",3/29/2013,1010620781,BROFSArv,BROFSAap,wisea
"Approve refund $1,364.68 to borrower TOP OP. awise/r4",4/15/2013,1003706905,BROFSArv,BROFSAap,wisea
"Approve refund $1,556.00 to borr due to bky7. awise/r4",3/29/2013,1010658831,BROFSArv,BROFSAap,wisea
Approve Refund $146.53 AWG op to borr: $59.53 2/20/13 ; $87.00 3/5/13,4/3/2013,1011391421,BROFSArv,BROFSAap,tatarm
